Client_fName,Client_lName,C_phoneNum,email,C_street_address,C_city,C_zipcode,creditCardNum,cardExpiration,cardCode,Employee_fName,Employee_lName,E_phoneNum,E_street_address,E_city,E_zipcode,HairColor,NextAppointment_Month,NextAppointment_Day
Vanessa,Miranda,(836)512-2831,andrew72@bennett.com,2258 Emily Rest,West Elizabethmouth,89608,4119986408382275607,04/27,294,Rebecca,Hall,001-224-846-9044x1778,75178 Lopez Roads Apt. 427,Shaneport,16131,Lavender,09,15
Frank,Rush,582-644-9967,tfranklin@black.biz,4640 Richard Knolls Apt. 853,Alvarezmouth,88486,676397394294,02/20,4653,Cynthia,Moyer,(354)020-4170,9304 Copeland Crest Apt. 215,Port Rodneyborough,91206,PaleTurquoise,12,11
Shaun,Kent,508-030-0653,nmorales@hotmail.com,5485 Sims View,Wilsonville,44446,4433072688375565,03/20,809,Kelly,Miller,444.423.0891x64960,93243 Cynthia Trafficway Apt. 904,West Ashleestad,61235,DarkRed,08,12
Susan,Wagner,+1-450-824-3804x91296,qchavez@yahoo.com,8063 Ashlee Knoll,Karenchester,97245,4187786018375,01/22,863,Brandon,Camacho,001-473-286-4449,0418 Christopher Orchard Apt. 772,Clayborough,06724,BurlyWood,10,24
Krystal,Coleman,(271)801-3438,samantha05@lane.com,047 Brandon Flats Suite 553,New Virginiaburgh,27148,502054795153,01/22,432,Nathan,Diaz,3383533939,538 Austin Pines,Josephberg,89623,SteelBlue,08,25
James,Thompson,246-381-9314,anthony38@gmail.com,5759 Gates View Apt. 795,Stevetown,83017,4281696086925861205,01/22,976,Jonathan,Le,+1-291-168-8515x193,5469 Dean Hills Apt. 084,East Thomasstad,52121,MediumSeaGreen,11,07
Yvette,Wright,072-381-1934x0658,tommy08@fisher-williams.com,1191 Best Ville Apt. 376,Moralesview,33976,3541804528773851,11/22,102,Monica,Ward,+1-577-757-9648x65758,9877 Hernandez Islands,Grossstad,72648,Salmon,01,06
Anthony,Brown,(999)909-6512,smithjason@garcia.com,55624 Matthew Coves,North Thomasport,93419,676182206620,08/22,737,Melinda,Thompson,+1-873-874-8287x798,110 Sanchez Plains,Mannchester,33845,Coral,09,10
Christopher,Zavala,755.132.6766,ymcfarland@yahoo.com,3388 Diaz Union Apt. 108,Kaufmanbury,55565,3588469684171045,10/26,6271,Jeremiah,Thomas,(273)033-5018,5482 Reeves Summit,Lake Anthony,04398,LightSeaGreen,10,28
Teresa,Rivera,7384060282,jasmine93@hotmail.com,7749 Alvarez Divide,Port Gina,29634,343787642368003,08/20,680,Anthony,Jensen,+1-485-667-5689x14976,900 Singh Walks,Steveshire,75797,Navy,10,09
Sarah,Harmon,001-485-912-4885x20796,victormiller@baldwin.net,09326 Robin Drive,North Ronaldhaven,09934,3545040783385539,02/24,066,Brittany,Villa,657-545-8230x2690,760 Melissa Court,Andersonville,03921,OrangeRed,11,16
John,Rocha,654.177.9726,josephkevin@yahoo.com,81792 Edwards Lodge,Reeseville,71163,180093502347799,04/28,501,Rita,Trujillo,833.104.9690,093 Noah Field,East Robert,39471,Linen,07,01
Shane,Day,+1-952-554-2574,xhayes@lutz.com,269 Angela Grove Suite 809,Port Andrea,98949,4354328509637928310,08/23,867,Clifford,Carson,+1-130-716-5828x00729,7582 King Park Apt. 422,New William,42570,PaleGoldenRod,10,28
Ricardo,Small,001-124-343-9721x374,jasonjones@gmail.com,183 Navarro Points,New Chadstad,57128,4121007442932,04/21,058,Amanda,Miller,(771)315-0520x2560,64293 Larson Crest,Robersonport,68424,CadetBlue,04,25
Philip,Holt,4859771982,robertsbrittney@gmail.com,69263 Cody Throughway Suite 547,Ryanberg,19800,370797565131607,05/27,775,Stacey,Gonzalez,(631)500-1263x0485,4998 Vargas Lights Apt. 844,Thompsonland,75949,Indigo,11,22
Michael,Horton,001-546-445-2616x48394,cmiller@gmail.com,627 Melissa Wall Suite 925,Ramosfort,04057,4751381326456115,11/20,675,Donald,Brown,512-335-4305,83615 Adams Track,West Donna,05996,Orchid,03,12
Omar,Williams,(868)140-8403,christina05@hotmail.com,43873 George Centers,Thomasport,80995,571243994217,11/23,959,Katrina,Lynch,001-440-827-4815x49419,6740 Taylor Ferry Suite 670,Lake Jennifer,42386,Gainsboro,08,14
Jason,Williams,087-102-5141x91433,rperry@yahoo.com,477 Matthew Meadow Suite 232,Stewartmouth,23065,4569134410412789,09/21,392,Caleb,Rocha,(846)274-5861x785,2437 Michael Keys Suite 180,West Angela,88580,DarkOrange,04,29
Kimberly,Reid,(957)417-4311,amandacox@yahoo.com,13222 Cheyenne Greens,Brianmouth,39454,676122292607,03/27,086,Charles,Dalton,(827)558-3589x73727,7732 Nguyen Island Suite 018,Taylorbury,55465,LightSteelBlue,04,03
